GR_04L,GR_01L,GR_03L
9.501785714,8.8875,9.828571429
8.360119048,9.270833333,6.775
9.276190476,8.855357143,9.573214286
6.385714286,9.1375,9.442857143
8.501785714,9.685714286,9.653571429
9.95,9.95,9.653571429
9.07797619,8.669047619,8.692857143
8.407142857,9.485714286,8.776785714
9.478571429,9.4,9.764285714
8.936904762,9.928571429,7.548809524
8.964285714,8.514285714,8.491666667
8.999404762,9.744642857,10
9.019642857,9.344642857,10
8.97797619,8.35,9.260714286
8.346428571,8.635714286,9.0875
9.49047619,9.757142857,9.275
8.461309524,3.2625,8.289285714
9.326785714,10,7.085714286
9.3,8.635714286,8.020833333
8.207142857,8.392857143,9.008928571
8.219642857,8.275,8.957142857
9.285714286,6.832738095,9.069642857
9.466071429,8.928571429,7.729166667
9.351785714,9.95,3.764285714
8.629761905,8.41547619,0.821428571
9.7375,9.328571429,8.043452381
8.883333333,9.331547619,9.316071429
9.501785714,9.148214286,8.382142857
9.5125,10,8.425
9.514285714,9.3375,10
8.528571429,9.097619048,9.307142857
4.364285714,8.521428571,8.964285714
9.503571429,7.823214286,9.582142857
9.378571429,10,8.420833333
9.358928571,7.4125,8.257142857
9.258928571,8.828571429,9.866071429
9.09047619,9.7875,9.828571429
8.958928571,9.607142857,9.161904762
7.971428571,8.830357143,8.213690476
9.621428571,9.632142857,9.535714286
8.976785714,9.178571429,9.001785714
8.094642857,9.194642857,6.872619048
8.458928571,9.073214286,9.75
9.011904762,9.158928571,8.314285714
7.476785714,9.757142857,4.446428571
8.053571429,8.632142857,9.053571429
9.725,9.373214286,9.319642857
8.224404762,7.902380952,9.635714286
9.266071429,9.764285714,9.258928571
8.464285714,9.764285714,9.097619048
8.213690476,9.378571429,
8.257142857,8.257142857,
9.194642857,8.289285714,
9.328571429,9.351785714,
4.446428571,8.964285714,